x,y,actionList,predictionsList
0,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,3,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,4,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,5,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,6,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,7,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,8,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,9,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,10,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,11,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,12,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,13,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,14,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,15,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,16,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
0,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,2,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,3,0,"[-8.852905486603754, -9.453455747517152, -9.101271166390568]"
1,4,0,"[-15.993069203504609, -16.09951348667587, -16.326777458055084]"
1,5,2,"[-18.124996373804642, -18.132733258085434, -18.087035313949134]"
1,6,0,"[-18.055350813433037, -18.182669742658963, -18.385565101397397]"
1,7,2,"[-17.662368658237273, -17.68323193684228, -17.491036498044494]"
1,8,0,"[-18.207451231512675, -18.252020682006265, -18.276842372907307]"
1,9,2,"[-18.768222510730432, -18.819902345832407, -18.678717613199193]"
1,10,1,"[-19.57880160230793, -19.454973334396257, -19.49173014011155]"
1,11,1,"[-18.745985118791612, -18.694326918862732, -18.764182665996383]"
1,12,2,"[-17.811599230550737, -17.744063681388425, -17.70205565920873]"
1,13,1,"[-16.856678067133814, -16.752307313136644, -16.855439435768183]"
1,14,1,"[-15.784205310859315, -15.65997825252012, -15.75022039473742]"
1,15,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,16,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
1,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,1,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,2,0,"[-5.873017857584421, -5.943383883566875, -7.5737078896455285]"
2,3,1,"[-13.32025497249493, -13.027827344338844, -13.452719888116901]"
2,4,1,"[-16.39785007782693, -16.26242106540294, -16.277393251934743]"
2,5,1,"[-16.75120949950894, -16.54335023772353, -16.6416657723954]"
2,6,2,"[-17.286658637107166, -17.404003022794196, -17.277640058999705]"
2,7,0,"[-17.75218132773861, -17.816010258079512, -17.888124429945304]"
2,8,0,"[-17.655498493617703, -17.662563780515754, -17.764812689947824]"
2,9,1,"[-17.917389824521763, -17.84852832408774, -17.94593112859412]"
2,10,0,"[-17.841819981211465, -17.904181997268697, -17.887181159824927]"
2,11,0,"[-17.811503002879135, -18.034590444767776, -17.92976453317027]"
2,12,2,"[-17.346466036045577, -17.45578527416788, -17.265140611067896]"
2,13,1,"[-16.78992733680889, -16.774527376005267, -16.841097195899497]"
2,14,2,"[-16.634399368921127, -16.37753281997891, -16.255221543710167]"
2,15,1,"[-15.576251706341512, -15.157367055800574, -15.448680855744774]"
2,16,0,"[-10.780898347363296, -10.930297876424262, -11.231910477224462]"
2,17,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
2,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
3,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
3,1,0,"[0.009999999999999998, 0.009999999999999998, -5.928324562238013]"
3,2,0,"[-9.842448527982281, -10.330043570572421, -10.898627571865086]"
3,3,2,"[-13.716202730237717, -14.161620985651815, -13.626991680518952]"
3,4,0,"[-15.370612725846414, -15.376312329604566, -15.481207542792788]"
3,5,0,"[-17.18577315490635, -17.236346295182344, -17.51456194244462]"
3,6,0,"[-18.533208251707062, -18.5783563763612, -18.608893219823017]"
3,7,0,"[-19.692248135435893, -19.994317796948682, -19.9717019363325]"
3,8,0,"[-20.45784433743895, -20.585744560740764, -20.52546778216932]"
