x,y,actionList,predictionsList
0,0,0,"[0.01, 0.01, 0.01]"
0,1,0,"[0.01, 0.01, 0.01]"
0,2,0,"[0.01, 0.01, 0.01]"
0,3,0,"[0.01, 0.01, 0.01]"
0,4,0,"[0.01, 0.01, 0.01]"
0,5,0,"[0.01, 0.01, 0.01]"
0,6,0,"[0.01, 0.01, 0.01]"
0,7,0,"[0.01, 0.01, 0.01]"
0,8,0,"[0.01, 0.01, 0.01]"
0,9,0,"[0.01, 0.01, 0.01]"
0,10,0,"[0.01, 0.01, 0.01]"
0,11,0,"[0.01, 0.01, 0.01]"
0,12,0,"[0.01, 0.01, 0.01]"
0,13,0,"[0.01, 0.01, 0.01]"
0,14,0,"[0.01, 0.01, 0.01]"
0,15,0,"[0.01, 0.01, 0.01]"
0,16,0,"[0.01, 0.01, 0.01]"
0,17,0,"[0.01, 0.01, 0.01]"
0,18,0,"[0.01, 0.01, 0.01]"
0,19,0,"[0.01, 0.01, 0.01]"
1,0,0,"[0.01, 0.01, 0.01]"
1,1,0,"[0.01, 0.01, 0.01]"
1,2,0,"[0.01, 0.01, 0.01]"
1,3,0,"[-11.105908178330626, -11.380508978226441, -11.725216022196152]"
1,4,0,"[-17.911893458810592, -18.05517274139007, -18.551391087854814]"
1,5,2,"[-19.64674308520113, -19.60897978912317, -19.47676374566552]"
1,6,1,"[-19.457018547068284, -19.456825642889587, -19.66407788333725]"
1,7,0,"[-19.41737106182243, -19.621176647179425, -19.653722134812057]"
1,8,1,"[-19.86768150515278, -19.820828568680092, -20.118057519963365]"
1,9,0,"[-20.63105326105614, -20.749334168448232, -20.776226538192933]"
1,10,0,"[-21.389401458722872, -21.47244169108552, -21.424638678279678]"
1,11,0,"[-20.62691722754737, -20.62809269046288, -20.644319930177808]"
1,12,2,"[-19.556552050224543, -19.554775710157454, -19.47907504035935]"
1,13,1,"[-18.313517520752473, -18.275238280406924, -18.402970880797792]"
1,14,0,"[-17.058357606854564, -17.111797424737482, -17.075214501040023]"
1,15,0,"[0.01, 0.01, 0.01]"
1,16,0,"[0.01, 0.01, 0.01]"
1,17,0,"[0.01, 0.01, 0.01]"
1,18,0,"[0.01, 0.01, 0.01]"
1,19,0,"[0.01, 0.01, 0.01]"
2,0,0,"[0.01, 0.01, 0.01]"
2,1,0,"[0.01, 0.01, 0.01]"
2,2,2,"[-9.083227113825984, -8.409686312027656, -7.977278426874705]"
2,3,0,"[-14.067577284970682, -14.228715322422033, -14.468441362525684]"
2,4,2,"[-17.42713349524107, -17.4664751633394, -17.36771327956074]"
2,5,1,"[-17.770854075879853, -17.66739194835801, -18.157791504097993]"
2,6,2,"[-18.56446294743046, -18.699931772927897, -18.538657028999566]"
2,7,1,"[-19.422924362509512, -19.375781881682048, -19.46182883945269]"
2,8,0,"[-19.80584789740908, -19.810249660272135, -19.850427397136684]"
2,9,2,"[-19.690158373400514, -19.713514624267905, -19.66736498852319]"
2,10,1,"[-19.53693073413186, -19.521887839001398, -19.57822118001358]"
2,11,0,"[-19.140437986947767, -19.188330910899285, -19.27314297124241]"
2,12,1,"[-19.18305635931874, -19.12550468870614, -19.27431084384654]"
2,13,1,"[-18.53480778796734, -18.415203059358852, -18.43568234846019]"
2,14,2,"[-17.556206213916834, -17.504261794867997, -17.317338023891963]"
2,15,1,"[-16.524467889132424, -16.12504592818986, -16.41177214692154]"
2,16,2,"[-13.872957067215065, -14.247293047475118, -13.74552752383096]"
2,17,0,"[0.01, 0.01, 0.01]"
2,18,0,"[0.01, 0.01, 0.01]"
2,19,0,"[0.01, 0.01, 0.01]"
3,0,0,"[0.01, 0.01, 0.01]"
3,1,0,"[-2.1808095487364687, -3.7916250674208225, -5.431469245796142]"
3,2,0,"[-10.54405799830568, -11.40173096272091, -11.254337443697707]"
3,3,1,"[-14.954087270463633, -14.779546263514922, -15.053642987419499]"
3,4,0,"[-16.153452886024944, -16.447126391264057, -16.608581520808652]"
3,5,2,"[-18.814818269698566, -18.684796700484167, -18.483472587792743]"
3,6,0,"[-20.108897913118653, -20.117043854821286, -20.403431235080575]"
3,7,2,"[-21.895346949680835, -21.84057258279331, -21.764356164679896]"
3,8,2,"[-22.60288951466498, -22.584510183155782, -22.549170235125136]"
