x,y,actionList,predictionsList
0,0,0,"[0.01, 0.01, 0.01]"
0,1,0,"[0.01, 0.01, 0.01]"
0,2,0,"[0.01, 0.01, 0.01]"
0,3,0,"[0.01, 0.01, 0.01]"
0,4,0,"[0.01, 0.01, 0.01]"
0,5,0,"[0.01, 0.01, 0.01]"
0,6,0,"[0.01, 0.01, 0.01]"
0,7,0,"[0.01, 0.01, 0.01]"
0,8,0,"[0.01, 0.01, 0.01]"
0,9,0,"[0.01, 0.01, 0.01]"
0,10,0,"[0.01, 0.01, 0.01]"
0,11,0,"[0.01, 0.01, 0.01]"
0,12,0,"[0.01, 0.01, 0.01]"
0,13,0,"[0.01, 0.01, 0.01]"
0,14,0,"[0.01, 0.01, 0.01]"
0,15,0,"[0.01, 0.01, 0.01]"
0,16,0,"[0.01, 0.01, 0.01]"
0,17,0,"[0.01, 0.01, 0.01]"
0,18,0,"[0.01, 0.01, 0.01]"
0,19,0,"[0.01, 0.01, 0.01]"
1,0,0,"[0.01, 0.01, 0.01]"
1,1,0,"[0.01, 0.01, 0.01]"
1,2,0,"[0.01, 0.01, 0.01]"
1,3,2,"[-5.23198200276363, -5.037604805808322, -4.832594563240885]"
1,4,0,"[-10.674850350732461, -10.873147764326989, -10.950574306921771]"
1,5,0,"[-12.722130919414468, -12.787884843181205, -12.783598465840765]"
1,6,0,"[-12.948701518713035, -12.9496713970901, -13.003416612255343]"
1,7,1,"[-12.82459555770765, -12.802663575259531, -12.850356765616967]"
1,8,0,"[-12.66679987713518, -12.667903065732029, -12.827723715723145]"
1,9,1,"[-12.93493607218284, -12.87810821856359, -12.937728209149386]"
1,10,0,"[-13.654346338633284, -13.676544841039885, -13.709002697650227]"
1,11,2,"[-13.492164577659468, -13.363371043041855, -13.255081035133143]"
1,12,2,"[-12.629623199396372, -12.482003809529193, -12.420227156781156]"
1,13,2,"[-12.052699475067314, -12.225913633548112, -11.995159681487637]"
1,14,1,"[-10.826828790687774, -10.771333156666236, -10.930312191717912]"
1,15,0,"[0.01, 0.01, 0.01]"
1,16,0,"[0.01, 0.01, 0.01]"
1,17,0,"[0.01, 0.01, 0.01]"
1,18,0,"[0.01, 0.01, 0.01]"
1,19,0,"[0.01, 0.01, 0.01]"
2,0,0,"[0.01, 0.01, 0.01]"
2,1,0,"[0.01, 0.01, 0.01]"
2,2,2,"[-5.315086098950068, -5.509913016736053, -5.2419768988006]"
2,3,2,"[-9.049277078290029, -9.45281508731297, -8.941692975764573]"
2,4,0,"[-11.478356547026959, -11.502906369808564, -11.930212877176242]"
2,5,1,"[-12.221926616364714, -12.154948670602636, -12.177189413234284]"
2,6,2,"[-12.365217306843075, -12.560469466177635, -12.354081204216733]"
2,7,0,"[-12.902782547468423, -13.286724156246947, -13.292063730023996]"
2,8,1,"[-13.735020416962545, -13.526480581591432, -13.888215582350186]"
2,9,1,"[-13.8014737391738, -13.70543504695649, -13.794822848874016]"
2,10,0,"[-13.617086448189175, -13.623234268037246, -13.70625464254606]"
2,11,2,"[-13.308059344769866, -13.457040441960551, -13.304493106762214]"
2,12,0,"[-12.896982263720977, -12.914707885197842, -12.933683622432717]"
2,13,2,"[-12.450825726089224, -12.181558736023737, -12.150505312983343]"
2,14,2,"[-11.864027162508723, -11.914756815446104, -11.455087378285013]"
2,15,2,"[-11.566076569051159, -11.524136935421897, -11.498108880541496]"
2,16,0,"[-7.5961382431962186, -7.636812059475864, -7.8754052837084085]"
2,17,0,"[0.01, 0.01, 0.01]"
2,18,0,"[0.01, 0.01, 0.01]"
2,19,0,"[0.01, 0.01, 0.01]"
3,0,0,"[0.01, 0.01, 0.01]"
3,1,1,"[-2.271905746826863, 0.01, 0.01]"
3,2,0,"[-6.5074055044351375, -6.984979356766174, -6.759067577604339]"
3,3,0,"[-10.349362253974418, -10.410299346304791, -10.774281369125344]"
3,4,0,"[-11.562843289544706, -11.70134570030303, -11.635641476747322]"
3,5,0,"[-12.48560606767007, -12.620976489397528, -12.532284559436237]"
3,6,0,"[-13.86301144334778, -13.926208131150462, -13.939495732727679]"
3,7,1,"[-14.58076967256214, -14.425641944089797, -14.50402435230531]"
3,8,1,"[-14.704445709003224, -14.689371916336373, -14.707387826509454]"
3,9,2,"[-15.016066529987052, -15.065301220783924, -14.987161745668352]"
