x,y,actionList,predictionsList
0,0,0,"[0.01, 0.01, 0.01]"
0,1,0,"[0.01, 0.01, 0.01]"
0,2,0,"[0.01, 0.01, 0.01]"
0,3,0,"[0.01, 0.01, 0.01]"
0,4,0,"[0.01, 0.01, 0.01]"
0,5,0,"[0.01, 0.01, 0.01]"
0,6,0,"[0.01, 0.01, 0.01]"
0,7,0,"[0.01, 0.01, 0.01]"
0,8,0,"[0.01, 0.01, 0.01]"
0,9,0,"[0.01, 0.01, 0.01]"
0,10,0,"[0.01, 0.01, 0.01]"
0,11,0,"[0.01, 0.01, 0.01]"
0,12,0,"[0.01, 0.01, 0.01]"
0,13,0,"[0.01, 0.01, 0.01]"
0,14,0,"[0.01, 0.01, 0.01]"
0,15,0,"[0.01, 0.01, 0.01]"
0,16,0,"[0.01, 0.01, 0.01]"
0,17,0,"[0.01, 0.01, 0.01]"
0,18,0,"[0.01, 0.01, 0.01]"
0,19,0,"[0.01, 0.01, 0.01]"
1,0,0,"[0.01, 0.01, 0.01]"
1,1,0,"[0.01, 0.01, 0.01]"
1,2,0,"[0.01, 0.01, 0.01]"
1,3,0,"[-8.180806536487445, -9.595924645907942, -9.284168229228332]"
1,4,0,"[-14.325702640652246, -14.508660494415583, -14.392329646077183]"
1,5,0,"[-15.620186899286217, -15.6868613526178, -15.96899904868397]"
1,6,1,"[-16.202287620648306, -16.048794084095455, -16.281992693322408]"
1,7,0,"[-16.372912521143807, -16.708572549333272, -16.518061813658395]"
1,8,1,"[-17.024787807771546, -16.892638584551676, -16.945760043129034]"
1,9,2,"[-17.32291329648527, -17.51286949554587, -17.279871277885295]"
1,10,1,"[-17.707517963568456, -17.671009217018014, -17.732564259482537]"
1,11,2,"[-17.15243496761893, -17.06802549578887, -17.040041758711787]"
1,12,1,"[-16.209255934086936, -15.880095073561009, -16.12418099228302]"
1,13,2,"[-15.020465438797892, -15.09768576796819, -14.821505723421506]"
1,14,0,"[-13.930059087922471, -14.056668612694478, -14.146639282883648]"
1,15,0,"[0.01, 0.01, 0.01]"
1,16,0,"[0.01, 0.01, 0.01]"
1,17,0,"[0.01, 0.01, 0.01]"
1,18,0,"[0.01, 0.01, 0.01]"
1,19,0,"[0.01, 0.01, 0.01]"
2,0,0,"[0.01, 0.01, 0.01]"
2,1,0,"[0.01, 0.01, 0.01]"
2,2,2,"[-7.976478543833253, -5.820368686375468, -5.021727500049115]"
2,3,2,"[-11.347896811861231, -11.339778862641362, -11.144054495751764]"
2,4,1,"[-13.873523039559227, -13.712326919953018, -13.959377838022954]"
2,5,0,"[-14.985432064425726, -15.146835981988103, -15.191777365989008]"
2,6,1,"[-15.98676628509878, -15.877548955853186, -16.081535974030828]"
2,7,1,"[-16.873052904289462, -16.804442989733793, -16.87824220307739]"
2,8,1,"[-17.3073188917352, -17.15424784619539, -17.282918626328602]"
2,9,2,"[-17.55257887391401, -17.566499468989306, -17.46316806642684]"
2,10,1,"[-17.928141844759296, -17.413501961953557, -17.53081399741648]"
2,11,1,"[-17.290305290691727, -17.281438078151353, -17.33211981368274]"
2,12,2,"[-16.60941958280749, -16.698446279317714, -16.402181494138727]"
2,13,2,"[-15.86608464167787, -15.706086111990254, -15.696875918010488]"
2,14,2,"[-15.037400443714809, -14.85119514843463, -14.639193618085763]"
2,15,2,"[-14.036323756367088, -14.007842231891342, -13.444609345526768]"
2,16,0,"[-10.595438553824724, -11.106232518174693, -10.604153203366973]"
2,17,0,"[0.01, 0.01, 0.01]"
2,18,0,"[0.01, 0.01, 0.01]"
2,19,0,"[0.01, 0.01, 0.01]"
3,0,0,"[0.01, 0.01, 0.01]"
3,1,1,"[-3.9589330017601405, 0.01, 0.01]"
3,2,0,"[-8.243840930955319, -8.528259105229212, -8.586098806981711]"
3,3,0,"[-11.32296566818603, -11.364801837216302, -11.515405090093756]"
3,4,0,"[-14.081415894962584, -14.124498900803543, -14.238852728625128]"
3,5,1,"[-15.915892307182862, -15.912017376151258, -16.35714527078165]"
3,6,0,"[-17.577680524232484, -17.616084227574586, -17.607760212428005]"
3,7,2,"[-19.383585500717988, -19.447498669206993, -19.23627860378513]"
3,8,2,"[-20.290087692948283, -20.199626923704123, -19.907071823756183]"
3,9,0,"[-20.39138887131022, -20.65893339989117, -20.51658438808259]"
