Classifier 271: 100100100100000100100100 = 6 fitness,0]: 0.27829000000000004 prediction,0]: 276.5343180727898 error,0]: 184.35621204852654 fitness,1]: 0.27829000000000004 prediction,1]: 58.78588161165417 error,1]: 39.19058774110278 Experience: 3 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 272: 10010010010000#100100100 = 5 fitness,0]: 0.47387341000000005 prediction,0]: 506.7962048149507 error,0]: 186.7125605924245 fitness,1]: 0.47387341000000005 prediction,1]: 130.83148369236233 error,1]: 45.53053470225745 Experience: 6 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 273: 1#0100100100#00100100100 = 1 fitness,0]: 0.5459296405397795 prediction,0]: 820.3897399313444 error,0]: 70.73306232468101 fitness,1]: 0.5541744395764419 prediction,1]: 189.1894024656783 error,1]: 12.741020601777883 Experience: 110 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 274: 100100100100000100100100 = 4 fitness,0]: 0.350461 prediction,0]: 730.7509799836849 error,0]: 36.190499689690455 fitness,1]: 0.350461 prediction,1]: 169.35772804944483 error,1]: 6.399009388240408 Experience: 4 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 275: 100100100100000100100100 = 2 fitness,0]: 0.41541490000000003 prediction,0]: 701.6975933756569 error,0]: 50.661163302303294 fitness,1]: 0.41541490000000003 prediction,1]: 181.32907599917988 error,1]: 14.013794781234305 Experience: 5 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 276: #0010010010000010010010# = 3 fitness,0]: 0.41541490000000003 prediction,0]: 485.02046946779194 error,0]: 256.3576345424509 fitness,1]: 0.41541490000000003 prediction,1]: 111.5096543021084 error,1]: 55.8605614932011 Experience: 5 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 277: 10010#1001000001001001#0 = 0 fitness,0]: 0.7735197546958862 prediction,0]: 828.3844167512719 error,0]: 22.795792841990114 fitness,1]: 0.7735197546958862 prediction,1]: 177.57483768871768 error,1]: 5.913588748071828 Experience: 14 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 278: 100100#00#00000100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ", 7. 10.]
Classifier 279: 1001001#0100000100#00#00 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ", 7. 10.]
Classifier 280: 100100100100000100100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ", 7. 10.]
Classifier 281: 1001001001#0000100100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ", 7. 10.]
