currentweight,result,stays,validationproblem,inteval
"[1, 0]",6,2,29,19
"[0.5, 0.5]",15,3,29,19
"[0, 1]",19,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",136,12,29,19
"[0, 1]",13,1,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",17,1,29,19
"[0, 1]",65,9,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",59,11,29,19
"[0, 1]",70,8,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",19,3,29,19
"[0, 1]",22,5,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",145,15,29,19
"[0, 1]",34,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",16,0,29,19
"[0, 1]",14,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",11,3,29,19
"[0, 1]",31,4,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",41,7,29,19
"[0, 1]",22,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",64,10,29,19
"[0, 1]",76,13,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",108,20,29,19
"[0, 1]",13,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",49,3,29,19
"[0, 1]",138,15,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",100,8,29,19
"[0, 1]",99,11,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",27,4,29,19
"[0, 1]",130,15,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",26,2,29,19
"[0, 1]",15,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",43,4,29,19
"[0, 1]",16,2,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",36,4,29,19
"[0, 1]",11,1,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",37,4,29,19
"[0, 1]",104,13,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",9,0,29,19
"[0, 1]",57,5,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",91,10,29,19
"[0, 1]",17,3,29,19
"[1, 0]",6,2,29,19
"[0.5, 0.5]",8,1,29,19
